# T/Tc retro_corr S_topo
9.889447236180902712e-01 1.656495247163087270e-01 -1.532793214902313517e-01
9.924623115577890786e-01 1.692003934008204924e-01 -1.563209460099914683e-01
9.959798994974874420e-01 1.746801396662766848e-01 -1.609967402717004115e-01
9.994974874371858053e-01 1.790584082794787757e-01 -1.647170089876138499e-01
1.003015075376884502e+00 1.842037179436735173e-01 -1.690714251843405402e-01
1.006532663316582976e+00 1.898862726919938737e-01 -1.738585738061216857e-01
1.010050251256281229e+00 1.945579588150918582e-01 -1.777770451383342554e-01
1.013567839195979925e+00 1.992900299733812997e-01 -1.817305738424105921e-01
1.017085427135678399e+00 2.019147750395677010e-01 -1.839167629753948874e-01
1.020603015075376652e+00 2.059627177021351174e-01 -1.872790130283359389e-01
1.024120603015075348e+00 2.116410858742248657e-01 -1.919765353502937699e-01
1.027638190954773822e+00 2.165078123082020967e-01 -1.959851272005721790e-01
1.031155778894472297e+00 2.200244637127032610e-01 -1.988717304230085969e-01
1.034673366834170771e+00 2.227652208941054146e-01 -2.011156862615075536e-01
1.038190954773869246e+00 2.285391769889357771e-01 -2.058266165460270192e-01
1.041708542713567720e+00 2.345944870171928764e-01 -2.107433755499444061e-01
1.045226130653266194e+00 2.374097956470270221e-01 -2.130211285368735497e-01
1.048743718592964891e+00 2.412961493392892787e-01 -2.161569210248339146e-01
1.052261306532663143e+00 2.462455029916674754e-01 -2.201362362652338200e-01
1.055778894472361840e+00 2.499638395971469362e-01 -2.231154225963184745e-01
1.059296482412060314e+00 2.566762774719333895e-01 -2.284711563677805646e-01
1.062814070351758788e+00 2.607683700541829630e-01 -2.317221457703624865e-01
1.066331658291457263e+00 2.645677562563171770e-01 -2.347311599132519966e-01
1.069849246231155737e+00 2.678820843857283585e-01 -2.373486470207990251e-01
1.073366834170854212e+00 2.727783480636523095e-01 -2.412029723155643679e-01
1.076884422110552686e+00 2.766889301363957832e-01 -2.442707363973777857e-01
1.080402010050251382e+00 2.814386218816049556e-01 -2.479841505201525187e-01
1.083919597989949635e+00 2.851559364391456630e-01 -2.508808404146067317e-01
1.087437185929648331e+00 2.898130220829240322e-01 -2.544980390522759706e-01
1.090954773869346806e+00 2.940132221806326385e-01 -2.577491868843317380e-01
1.094472361809045058e+00 2.986942670463313410e-01 -2.613601197492974038e-01
1.097989949748743754e+00 3.019964990308705022e-01 -2.638996229173056207e-01
1.101507537688442229e+00 3.051223828816110872e-01 -2.662975825748736813e-01
1.105025125628140703e+00 3.090583867585804390e-01 -2.693088539342494148e-01
1.108542713567839177e+00 3.127474494133231087e-01 -2.721229923607466628e-01
1.112060301507537652e+00 3.176707251466339144e-01 -2.758663346069175626e-01
1.115577889447236126e+00 3.215680276311444485e-01 -2.788196880008387835e-01
1.119095477386934601e+00 3.252379200121045533e-01 -2.815927601732985397e-01
1.122613065326633297e+00 3.270904823455372257e-01 -2.829896921943215182e-01
1.126130653266331549e+00 3.315762427968567128e-01 -2.863641364531821498e-01
1.129648241206030246e+00 3.340949585733741789e-01 -2.882538778699291204e-01
1.133165829145728720e+00 3.369031373993250922e-01 -2.903565957731324421e-01
1.136683417085427195e+00 3.401921007559868815e-01 -2.928137086224670838e-01
1.140201005025125447e+00 3.424659515325783055e-01 -2.945089299899275037e-01
1.143718592964824143e+00 3.456405653500692621e-01 -2.968708995856170763e-01
1.147236180904522618e+00 3.487782992751338185e-01 -2.991999606351750107e-01
1.150753768844220870e+00 3.522109231294632270e-01 -3.017417132139293412e-01
1.154271356783919789e+00 3.547401292036996279e-01 -3.036103875214083425e-01
1.157788944723618041e+00 3.573314682948196541e-01 -3.055213532725558623e-01
1.161306532663316515e+00 3.611173900419791805e-01 -3.083067074261611196e-01
1.164824120603015212e+00 3.654278597767654513e-01 -3.114685622784251207e-01
1.168341708542713464e+00 3.688370844301139817e-01 -3.139622664335935398e-01
1.171859296482411938e+00 3.726678683082392252e-01 -3.167569238518688213e-01
1.175376884422110413e+00 3.759223086816699810e-01 -3.191250029881841921e-01
1.178894472361809109e+00 3.782910110883996313e-01 -3.208450594948263346e-01
1.182412060301507362e+00 3.817797699432251002e-01 -3.233730803041499069e-01
1.185929648241206058e+00 3.849449404695844956e-01 -3.256611067256028336e-01
1.189447236180904532e+00 3.880155340689656618e-01 -3.278757741670970116e-01
1.192964824120602785e+00 3.905441044015089957e-01 -3.296958317073350186e-01
1.196482412060301481e+00 3.953404399791209389e-01 -3.331391451661893099e-01
1.199999999999999956e+00 3.988010741062248399e-01 -3.356162089813810034e-01
